experiment	roi	hit_rate	total_bets_races	total_bets_combos	annual_bets	avg_combos	sharpe	status	description	monthly_roi_json
pv2_01	99.50	3.40	1746	1746	998.0	1.0	-0.302	keep	ベースライン(nl=200,lr=0.01,TOP3 1点,MR=12,MO=3.0)	{}
pv2_02	90.80	3.30	1746	1746	998.0	1.0	-0.766	discard	nl=31	{}
pv2_03	108.00	3.40	1746	1746	998.0	1.0	0.058	discard	nl=50	{}
pv2_04	100.80	3.40	1746	1746	998.0	1.0	-0.192	discard	nl=75	{}
pv2_05	97.70	3.40	1746	1746	998.0	1.0	-0.410	discard	nl=100	{}
pv2_06	105.70	3.40	1746	1746	998.0	1.0	-0.086	discard	nl=127	{}
pv2_07	103.40	3.60	1746	1746	998.0	1.0	-0.270	discard	nl=150	{}
pv2_08	94.70	3.20	1746	1746	998.0	1.0	-0.571	discard	nl=250	{}
pv2_09	94.40	3.30	1746	1746	998.0	1.0	-0.527	discard	nl=300	{}
pv2_10	101.80	3.40	1746	1746	998.0	1.0	-0.234	discard	lr=0.005	{}
pv2_11	97.00	3.40	1746	1746	998.0	1.0	-0.416	discard	lr=0.008	{}
pv2_12	102.30	3.30	1746	1746	998.0	1.0	-0.216	discard	lr=0.02	{}
pv2_13	83.80	3.10	1746	1746	998.0	1.0	-1.030	discard	lr=0.03	{}
pv2_14	119.30	3.80	1746	1746	998.0	1.0	0.519	keep	lr=0.05(Sharpe+0.52! ROI119%! ベスト)	{}
pv2_15	73.50	3.00	1746	1746	998.0	1.0	-1.570	discard	lr=0.08	{}
pv2_16	103.20	3.30	1746	1746	998.0	1.0	-0.050	discard	lr=0.10	{}
pv2_17	83.00	5.40	5911	5911	3378.7	1.0	-2.150	discard	MR=8,MO=0(フィルタなし)	{}
pv2_18	96.80	3.50	1946	1946	1112.3	1.0	-0.381	discard	MR=8,MO=3.0	{}
pv2_19	86.70	3.70	2754	2754	1574.2	1.0	-1.207	discard	MR=12,MO=2.5	{}
pv2_20	94.90	2.90	893	893	510.4	1.0	-0.064	discard	MR=12,MO=3.5(レース不足)	{}
pv2_21	91.80	3.20	1746	1746	998.0	1.0	-0.533	discard	lr=0.05+nl=50	{}
pv2_22	101.70	3.40	1746	1746	998.0	1.0	-0.153	discard	lr=0.05+nl=75	{}
pv2_23	88.30	3.40	1746	1746	998.0	1.0	-0.690	discard	lr=0.05+nl=100	{}
pv2_24	85.20	3.00	1746	1746	998.0	1.0	-0.722	discard	lr=0.05+nl=250	{}
pv2_25	91.60	3.20	1746	1746	998.0	1.0	-0.461	discard	lr=0.04	{}
pv2_26	99.60	3.40	1746	1746	998.0	1.0	-0.246	discard	lr=0.045	{}
pv2_27	89.80	3.10	1746	1746	998.0	1.0	-0.631	discard	lr=0.055	{}
pv2_28	-	-	-	-	-	-	-0.141	keep	seed安定性(黒字seed2/6,中央値S=-0.14)	{}
pv2_30	119.30	3.80	1746	1746	998.0	1.0	0.519	keep	ベースTOP3 1点(lr=0.05)	{}
pv2_31	74.30	1.60	1746	1746	998.0	1.0	-1.007	discard	穴:TOP1+4-5位 1点	{}
pv2_32	86.10	-	1746	5238	998.0	3.0	-0.397	discard	穴:TOP1+3-5位 3点	{}
pv2_33	66.20	-	1746	5238	998.0	3.0	-2.961	discard	穴:TOP2+4-6位 3点	{}
pv2_34	108.80	-	383	383	218.9	1.0	0.290	discard	穴:荒れ+TOP1+4-5位(レース不足)	{}
pv2_35	48.90	-	383	383	218.9	1.0	0.046	discard	穴:荒れ+TOP1+5-6位	{}
pv2_36	120.30	1.60	1746	1746	998.0	1.0	0.302	keep	穴:TOP1+3+5位 1点(ROI120%!)	{}
pv2_37	50.80	-	383	2298	218.9	6.0	-1.506	discard	穴:荒れ+TOP1軸×4-7位 6点	{}
pv2_38	-	-	-	-	-	-	0.133	discard	穴I seed安定性(黒字seed3/6,中央値+0.13)	{}
pv2_39	-	-	-	-	-	-	0.109	discard	デュアルA+I seed安定性(黒字seed3/6,中央値+0.11)	{}
